HNSCC5_p14_HNSCC5_P14_LN_B07	HNSCC5_p14_HNSCC5_P14_LN_C08	HNSCC5_p5_P5_E05	HNSCC5_p14_HNSCC5_P14_LN_A07	HNSCC5_p7_HNSCC5_P7_C10	HNSCC5_p9_HNSCC5_P9_B07	HNSCC5_p15_HNSCC5_P15_E11	HNSCC5_p7_HNSCC5_P7_D04	HNSCC5_p5_P5_E03	HNSCC5_p9_HNSCC5_P9_A02	HNSCC5_p13_P13_D03	HNSCC5_p15_HNSCC5_P15_A12	HNSCC5_p13_P13_C06	HNSCC5_p3_HNSCC5_P3_G07	HNSCC5_p13_P13_G04	HNSCC5_p9_HNSCC5_P9_G06	HNSCC5_p9_HNSCC5_P9_H06	HNSCC5_p7_HNSCC5_P7_A02	HNSCC5_p13_P13_B12	HNSCC5_p3_HNSCC5_P3_E03	HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p14_HNSCC5_P14_LN_G08	HNSCC5_p14_HNSCC5_P14_LN_A04	HNSCC5_p7_HNSCC5_P7_F10	HNSCC5_p13_P13_C09	HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p13_P13_A10	HNSCC5_p15_HNSCC5_P15_G06	HNSCC5_p15_HNSCC5_P15_F04	HNSCC5_p9_HNSCC5_P9_G04	HNSCC5_p9_HNSCC5_P9_D04	HNSCC5_p14_HNSCC5_P14_LN_C03	HNSCC5_p9_HNSCC5_P9_D08	HNSCC5_p9_HNSCC5_P9_D10	HNSCC5_p14_HNSCC5_P14_LN_E09	HNSCC5_p9_HNSCC5_P9_B08	HNSCC5_p15_HNSCC5_P15_E07	HNSCC5_p7_HNSCC5_P7_D10	HNSCC5_p14_HNSCC5_P14_LN_E12	HNSCC5_p9_HNSCC5_P9_E08	HNSCC5_p5_P5_E04	HNSCC5_p9_HNSCC5_P9_D03	HNSCC5_p9_HNSCC5_P9_B09	HNSCC5_p14_HNSCC5_P14_LN_G09	HNSCC5_p13_P13_D01	HNSCC5_p7_HNSCC5_P7_A04	HNSCC5_p7_HNSCC5_P7_B09	HNSCC5_p9_HNSCC5_P9_E02	HNSCC5_p5_P5_F11	HNSCC5_p13_P13_E03
QRICH1	0	0.360565944999984	0.343857422560639	0.0346455761874607	0.451967574997223	0.712254011723556	0.588682679375569	0.186277883494651	0.225717685784101	0.273665553192719	0.445274651284683	0.596816099528451	0.361823474097241	0.254532527741603	0.183430643412753	0.204903406343404	0.0615368620481097	0.387195525396419	0.167731261211445	0.664618443181275	0.544750290926458	0.12877609681596	0.0261352225929384	0.528710434997551	0.506737713608006	1	0.591203977794411	0.258517373574537	0.184917963175496	0.164653314580657	0.180463407194104	0.217035885631769	0.490580822207227	0.102605325378077	0.206513604792412	0.282435461267089	0.55315891224003	0.390179092383281	0.477088750472205	0.182256424418542	0.453584649146991	0.154921216142263	0.196320611162127	0.361570567077519	0.478508485082377	0.524143742585393	0.41189069805439	0	0.311068623000973	0.602159200342234
QARS	0	0.351623375325843	0.342883677426882	0.0364026272961192	0.460516039664504	0.718102730084617	0.584277658420199	0.192779144708625	0.226823263078321	0.283776115832709	0.442083494825913	0.607852938565703	0.371570017849921	0.266385125726331	0.178455284196257	0.218238152750799	0.0593908552148195	0.378386448130889	0.167951546428248	0.662728022711666	0.539777127710121	0.13038210024704	0.0249539010600445	0.530788461504117	0.518469235931836	1	0.596221358988784	0.265547856710334	0.180458142118058	0.155582565334121	0.178580549010639	0.228274612496558	0.508315676147586	0.0912799230433829	0.20403104206327	0.282159405543337	0.551449994751381	0.395560445064333	0.465996009008756	0.187545832965556	0.461399433913419	0.156294361232095	0.192647178355955	0.34951011047403	0.482351066689546	0.527242465382724	0.41681616824731	0	0.309003814223737	0.604281328877949
LAMB2	0	0.344033153730518	0.341452059028217	0.037356811582598	0.468302615376335	0.726417184210717	0.579002962805256	0.198611071356028	0.227117895917625	0.295652403540503	0.441491117228038	0.618399552161842	0.379156170427426	0.277220769366281	0.175645664500232	0.233248419454454	0.0580055064628506	0.370192404674596	0.166111933557445	0.661082232936329	0.53456963304865	0.133664648600639	0.0213668626242328	0.531230034674053	0.528101935340218	1	0.598806225234532	0.27043143442264	0.17695887670594	0.148992163008967	0.174241293471616	0.241467527648321	0.528631810280782	0.0823710815886057	0.202447604418479	0.282687687273113	0.549748547238425	0.400273590959933	0.455544093019748	0.194566511119142	0.468694059240104	0.158588400277285	0.191558721157407	0.339681179588489	0.484463542865595	0.529735663833434	0.421247158662866	0	0.30793947910337	0.606118275563579
USP4	0.00347838861643734	0.338812744868708	0.342803929862836	0.0391588076105658	0.478459883864921	0.737735645457714	0.573537282569343	0.206942759115358	0.230042587464342	0.310073046052439	0.440390236359674	0.628594362789876	0.386251802659249	0.290262995685985	0.175273785253075	0.249230685938586	0.057404363818239	0.364238756704177	0.164942073179624	0.66248805393769	0.532455401708878	0.138933845328531	0.0199520851420221	0.534692471234862	0.535832378506925	1	0.602372591429304	0.275843892328425	0.173830860486734	0.144875701237132	0.172158490233776	0.256660386835338	0.548267032868675	0.0758669177140939	0.201410445850401	0.281800194043055	0.549170827507155	0.406173922181774	0.445746915782935	0.204033856596238	0.478712756994261	0.163381854357344	0.193062046460282	0.332074555250769	0.489179225168664	0.535156757643926	0.428326493222459	0	0.309491311095541	0.607324820850315
HYAL2	0.0630570223438124	0.315116306066275	0.381789437270941	0.103917766128892	0.545617765633063	1	0.535650110215659	0.31852825978485	0.275842334989019	0.43215098526464	0.444738058641378	0.715721872364974	0.427612884669714	0.391251327353851	0.196156116285641	0.403796982450511	0.0716186810666605	0.291427413387547	0.194751648006305	0.68199774553606	0.527548713891329	0.20127308237435	0.0291798584520282	0.574441077149942	0.620081493089349	1	0.639674061950193	0.364549520907686	0.199563607349527	0.158248344907065	0.198466308796141	0.368304810097931	0.692541950841285	0.0493489068034637	0.252676649148416	0.28620034384753	0.564746170297053	0.46226799291922	0.430574741448927	0.281023605971146	0.585639112036934	0.202047561076632	0.222634046270449	0.314804841561999	0.549307040468139	0.59525465899381	0.512103050175409	0	0.317551333805502	0.633341792926328
RASSF1	0.0709976609767388	0.314756756510328	0.392030728702888	0.11886813264095	0.554477815212634	1	0.535704319877433	0.339446815013697	0.282515458488073	0.449435307991949	0.449499887837325	0.731308986026153	0.429022760177152	0.406982063221705	0.20431626242616	0.423186772894957	0.0791127186288475	0.283123318101951	0.205229664985265	0.682728409404171	0.530339468163458	0.210627150611956	0.031785435850979	0.582137613270178	0.630158034872904	1	0.64402530207928	0.384290076842836	0.208885744099201	0.166182261985546	0.205396416088693	0.384050911175845	0.711053930903125	0.0488228379600226	0.267244684147416	0.287660325869705	0.568812131146197	0.473169934728734	0.43180983322485	0.292891885482208	0.600974294895673	0.213749004119724	0.230886623215194	0.316029016806825	0.556236888327941	0.603593774294178	0.521643947152064	0	0.321153440461007	0.63876601793591
RPL29	0.102292626142849	0.320163778834331	0.417482751511641	0.174916486875573	0.578158366253035	1	0.535634355060454	0.405332497110877	0.308533257195707	0.500087998729162	0.460588955213848	1	0.434702186633301	0.445769524801878	0.232641586972513	0.48005790539614	0.107751673944969	0.2626247658554	0.240400618545522	0.68954880917023	0.5422177619179	0.241772826196716	0.044581741788843	0.601071978423074	0.656775004852651	1	0.659759551701561	0.441215661555385	0.242817367840657	0.195694591865998	0.231037014121959	0.43260582826582	1	0.0557007206972503	0.315844523243728	0.281004287845423	0.584807541265038	0.501684861684965	0.444305257915785	0.328758994765386	0.651072949527698	0.25427963512126	0.263637410777182	0.325757407245412	0.578120995566884	0.629260202304354	0.547783967098359	0	0.331188512551447	0.651118950488458
TKT	0.153002577713513	0.329089418465247	0.468623919042816	0.279333621777715	0.619888425428427	1	0.533196521569057	0.519094279338028	0.350760820057885	0.586393917715099	0.472340463642219	1	0.443098253263841	0.51593009314873	0.292405064892674	0.560584689622027	0.169374007507491	0.230603200354937	0.301127475297568	0.712684911613528	0.571840246210377	0.289881308447576	0.0767242105277652	0.633467184344998	0.683596431737289	1	0.664225149591217	0.539339848556197	0.301507606064005	0.264029973470422	0.261210767839828	0.503012741583807	1	0.0900114258879481	0.404311849761776	0.269297785418688	0.614178941515252	0.556369843217716	0.499335782499887	0.380097752613403	0.735887715258289	0.338359576074055	0.340927327781712	0.361802320346673	0.599356257616378	0.668813604190598	0.58068061710026	0.0602287584449889	0.349800561018396	0.693703416825587
PDHB	0.209718003176992	0.354263170010603	0.502089409185429	0.36350787486333	0.659302806634129	1	0.515247972203164	0.611302727576293	0.385439953248264	0.663129383478997	0.496821853438595	1	0.469660057437194	0.590663416111236	0.350867377458884	0.620050936998781	0.224682374266233	0.221627283569368	0.358347484328893	0.735932329916761	0.599445488936192	0.336665306520063	0.132019158359601	0.648413816938492	0.687132773806076	1	0.660565714739247	0.610520324868065	0.34338458729822	0.340400706522323	0.288471719968844	0.570702660341129	1	0.141281705429106	0.490519062179478	0.285462549923151	0.639215143466938	0.60279410837886	0.573874476457478	0.42708563023976	1	0.423523223810094	0.397784631464305	0.402605147098963	0.608175815109673	0.703520125892954	0.60086471022082	0.13042964358585	0.372230215777613	0.737632384287523
PSMD6	0.250305151383536	0.368987273428428	0.515337135391716	0.404112078582736	0.676903028282001	1	0.504801408250001	0.65438555963447	0.400403037147275	0.700993928026404	0.514036491403223	1	0.490268708496916	0.632016840011188	0.388123018286016	0.652102942483972	0.256876960832944	0.224391060533644	0.385091075875158	0.744065749749984	0.616724822304092	0.366051270008155	0.166987216177822	0.657684293035028	0.688765298442331	1	0.66296532437992	0.645183668005319	0.355687699118017	0.384506253464304	0.309879755787767	0.611849185444977	1	0.18044935369664	0.537682131960483	0.299332257538745	0.648951681453413	0.622967585323247	0.614285059101364	0.454978528287579	1	0.466312284725683	0.43336887020092	0.42338216761946	0.612524136747251	0.725968827879783	0.607520336814874	0.168959632913149	0.384920775323432	1
SUCLG2	0.270361916311376	0.376804751148324	0.521066491870606	0.424076685486278	0.68369067296407	1	0.501029497006035	0.67293587826627	0.407521802845646	0.717948581255914	0.527818515927076	1	0.500385708331668	0.654947593420011	0.408320431257484	0.669293765441562	0.273143890772204	0.227757975499998	0.400935575061005	0.747239136054327	0.625118150369427	0.383645660078166	0.185755311185312	0.6591309756535	0.692336086470066	1	0.663458225684301	0.662643079475545	0.361596536803327	0.408488402717682	0.325010834888361	0.632994522760279	1	0.202882487282132	0.559388134071017	0.30994719706595	0.65292382268586	0.629967685056647	0.635058598474846	0.468612350761558	1	0.485918489393636	0.450730675583766	0.435861233392795	0.612657241691902	0.735494825111619	0.612232970303195	0.188755696909575	0.389313958796466	1
