HNSCC5_p3_HNSCC5_P3_E03	HNSCC5_p3_HNSCC5_P3_D10	HNSCC5_p3_HNSCC5_P3_F07	HNSCC5_p3_HNSCC5_P3_H01	HNSCC5_p3_HNSCC5_P3_C11	HNSCC5_p3_HNSCC5_P3_G07	HNSCC5_p3_HNSCC5_P3_A04	HNSCC5_p9_HNSCC5_P9_B10	HNSCC5_p9_HNSCC5_P9_D08	HNSCC5_p9_HNSCC5_P9_D03	HNSCC5_p9_HNSCC5_P9_B11	HNSCC5_p9_HNSCC5_P9_H03	HNSCC5_p9_HNSCC5_P9_H10	HNSCC5_p9_HNSCC5_P9_B06	HNSCC5_p9_HNSCC5_P9_A02	HNSCC5_p9_HNSCC5_P9_G04	HNSCC5_p9_HNSCC5_P9_A06	HNSCC5_p9_HNSCC5_P9_B07	HNSCC5_p9_HNSCC5_P9_G07	HNSCC5_p9_HNSCC5_P9_D04	HNSCC5_p9_HNSCC5_P9_G11	HNSCC5_p9_HNSCC5_P9_G09	HNSCC5_p9_HNSCC5_P9_D10	HNSCC5_p9_HNSCC5_P9_E09	HNSCC5_p9_HNSCC5_P9_B09	HNSCC5_p9_HNSCC5_P9_E10	HNSCC5_p9_HNSCC5_P9_F10	HNSCC5_p9_HNSCC5_P9_A08	HNSCC5_p9_HNSCC5_P9_G02	HNSCC5_p9_HNSCC5_P9_F12	HNSCC5_p9_HNSCC5_P9_A09	HNSCC5_p9_HNSCC5_P9_G06	HNSCC5_p9_HNSCC5_P9_H06	HNSCC5_p9_HNSCC5_P9_D05	HNSCC5_p9_HNSCC5_P9_F09	HNSCC5_p9_HNSCC5_P9_C12	HNSCC5_p9_HNSCC5_P9_E08	HNSCC5_p9_HNSCC5_P9_C03	HNSCC5_p9_HNSCC5_P9_B08	HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_E02	HNSCC5_p14_HNSCC5_P14_LN_F03	HNSCC5_p14_HNSCC5_P14_LN_A09	HNSCC5_p14_HNSCC5_P14_LN_C03	HNSCC5_p14_HNSCC5_P14_LN_E08	HNSCC5_p14_HNSCC5_P14_LN_H11	HNSCC5_p14_HNSCC5_P14_LN_G08	HNSCC5_p14_HNSCC5_P14_LN_G06	HNSCC5_p14_HNSCC5_P14_LN_D01	HNSCC5_p14_HNSCC5_P14_LN_C01	HNSCC5_p14_HNSCC5_P14_LN_A04	HNSCC5_p14_HNSCC5_P14_LN_C09	HNSCC5_p14_HNSCC5_P14_LN_G09	HNSCC5_p14_HNSCC5_P14_LN_B06	HNSCC5_p14_HNSCC5_P14_LN_B07	HNSCC5_p14_HNSCC5_P14_LN_C08	HNSCC5_p14_HNSCC5_P14_LN_E09	HNSCC5_p14_HNSCC5_P14_LN_A07	HNSCC5_p14_HNSCC5_P14_LN_F05	HNSCC5_p14_HNSCC5_P14_LN_D10	HNSCC5_p14_HNSCC5_P14_LN_E12	HNSCC5_p5_P5_H06	HNSCC5_p5_P5_B05	HNSCC5_p5_P5_E11	HNSCC5_p5_P5_F11	HNSCC5_p5_P5_E04	HNSCC5_p5_P5_E05	HNSCC5_p5_P5_E03	HNSCC5_p5_P5_E12	HNSCC5_p5_P5_A08	HNSCC5_p5_P5_D05	HNSCC5_p7_HNSCC5_P7_D04	HNSCC5_p7_HNSCC5_P7_B09	HNSCC5_p7_HNSCC5_P7_A02	HNSCC5_p7_HNSCC5_P7_A04	HNSCC5_p7_HNSCC5_P7_G02	HNSCC5_p7_HNSCC5_P7_A12	HNSCC5_p7_HNSCC5_P7_F10	HNSCC5_p7_HNSCC5_P7_D10	HNSCC5_p7_HNSCC5_P7_C10	HNSCC5_p7_HNSCC5_P7_G07	HNSCC5_p7_HNSCC5_P7_F12	HNSCC5_p7_HNSCC5_P7_C07	HNSCC5_p7_HNSCC5_P7_C12	HNSCC5_p7_HNSCC5_P7_G04	HNSCC5_p7_HNSCC5_P7_E07	HNSCC5_p7_HNSCC5_P7_G05	HNSCC5_p13_P13_A05	HNSCC5_p13_P13_H07	HNSCC5_p13_P13_E03	HNSCC5_p13_P13_C07	HNSCC5_p13_P13_G05	HNSCC5_p13_P13_D03	HNSCC5_p13_P13_C06	HNSCC5_p13_P13_B05	HNSCC5_p13_P13_A10	HNSCC5_p13_P13_G04	HNSCC5_p13_P13_D11	HNSCC5_p13_P13_A08	HNSCC5_p13_P13_C09	HNSCC5_p13_P13_G08	HNSCC5_p13_P13_F10	HNSCC5_p13_P13_H01	HNSCC5_p13_P13_D01	HNSCC5_p13_P13_F04	HNSCC5_p13_P13_H11	HNSCC5_p13_P13_D08	HNSCC5_p13_P13_H09	HNSCC5_p13_P13_B12	HNSCC5_p13_P13_H08	HNSCC5_p13_P13_C11	HNSCC5_p15_HNSCC5_P15_D03	HNSCC5_p15_HNSCC5_P15_B12	HNSCC5_p15_HNSCC5_P15_B10	HNSCC5_p15_HNSCC5_P15_E11	HNSCC5_p15_HNSCC5_P15_F03	HNSCC5_p15_HNSCC5_P15_A01	HNSCC5_p15_HNSCC5_P15_E03	HNSCC5_p15_HNSCC5_P15_B07	HNSCC5_p15_HNSCC5_P15_B05	HNSCC5_p15_HNSCC5_P15_B08	HNSCC5_p15_HNSCC5_P15_D08	HNSCC5_p15_HNSCC5_P15_F04	HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p15_HNSCC5_P15_A11	HNSCC5_p15_HNSCC5_P15_A09	HNSCC5_p15_HNSCC5_P15_B03	HNSCC5_p15_HNSCC5_P15_G06	HNSCC5_p15_HNSCC5_P15_A12	HNSCC5_p15_HNSCC5_P15_G03	HNSCC5_p15_HNSCC5_P15_A04	HNSCC5_p15_HNSCC5_P15_E07
RER1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TNFRSF14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRRC47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C1orf174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RPL22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ICMT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACOT7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAMTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VAMP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PARK7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENO1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CLSTN1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PGD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DFFA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TARDBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EXOSC10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBXO6	1	1.27744598386133	1	1	0.147407388180005	0.718550851116409	1	1	1	1.42406433586574	1	1	1	1	0.713624947632967	1	1	1	1	0.733431404020505	1	1	0.719047068887382	0.484429035982017	1	1	1	1	1	1	0.462910374929267	1	1	1	1	1	1	1	1.52051301347554	1	0.607899567936843	1	0.735173821623598	0.750034253813007	1	1	0.646050831656785	1	1.46624586094838	1	1	1	1	0.49501202442191	1	1	0.599123933605678	1	0.587149754606808	0.688216501458513	1	1	1	1	1	1.32443646428973	1	1	1	1	1	1	1	0.615241007746698	1	1.29592372424471	1	1	1	1	1	1	1	1.39077469177273	1	1	1	0.603474870595321	1	1.34270780733875	1	1	0.663284172004487	1	0.736324914460664	0.551076511434322	1	1.321446777588	1	1	1	1	0.594982305016986	0.288240915509938	1.25969761945094	1	0.673197773747814	0.602399937436554	1	1	1.28167739304992	0.744495773207039	1	1	1	1.59548293731356	1	0.575129275491064	0.6636682539083	1	0.722910878198659	1	1	1	1	0.576567341695615	1	1	1	1	1	1
MAD2L2	1	1.27424247613515	1	1	0.152803672022803	0.722203296874827	1	1	1	1.41855654541481	1	1	1	1	0.715903486415509	1	1	1	1	0.726198222004242	1	1	0.711417678751521	0.48160503798834	1	1	1	1	1	1	0.467756556530021	1	1	1	1	1	1	1	1.512134346086	1	0.61174443897315	1	0.746823971905797	0.743486784358007	1	1	0.648966646315873	1	1.46236291463835	1	1	1	1	0.493820314426569	1	1	0.605080309524063	1	0.592151628406283	0.69068753385571	1	1	1	1	1	1.31676598778727	1	1	1	1	1	1	0.750831551599871	0.626899671105012	1	1.28901614558155	1	1	1	1	1	1	1	1.38510714949061	1	1	1	0.610949885454825	1	1.33461915240555	1	1	0.671963453825301	1	0.743157333289247	0.553542306427683	1	1.31456699132308	1	1	1	1	0.613482864307576	0.29483427433728	1.27099325247865	1	0.67474942524045	0.606303538487572	1	1	1.26442069482716	0.737324980911961	1	1	1	1.58253754714969	1	0.565502235299754	0.667755618880147	1	0.719062492630459	1	1	1	1	0.58064030043352	1	1	1	1	1	1
